key,uid,title,modified_date,saved_file,updated_at,status
uid:cd69f271-8b0d-46f1-ba76-9133a4fee23b,cd69f271-8b0d-46f1-ba76-9133a4fee23b,상세보기 : 광주광역시_서구_태양광발전소전기사업허가정보,2025-11-18,generator_next\source\raw_csv\광주광역시_서구_태양광발전소전기사업허가정보_20251114.csv,2026-02-25T02:22:07,skipped:up_to_date
uid:ce09d111-78e9-4b10-a917-cc86bf15c3c2,ce09d111-78e9-4b10-a917-cc86bf15c3c2,상세보기 : 전라남도_보성군_태양광발전소전기사업허가정보,2025-11-05,generator_next\source\raw_csv\전라남도_보성군_태양광발전소전기사업허가정보_20251103.csv,2026-02-25T02:22:14,skipped:up_to_date
uid:cf8dabf4-7ac6-4888-a04e-ae7c5c6333a7,cf8dabf4-7ac6-4888-a04e-ae7c5c6333a7,상세보기 : 충청남도_계룡시_태양광발전소전기사업허가정보,2025-06-19,generator_next\source\raw_csv\충청남도_계룡시_태양광발전소전기사업허가정보_20250619.csv,2026-02-25T02:22:34,ok
uid:d0c6f21f-de43-4a77-96c3-cb681ce0a46a,d0c6f21f-de43-4a77-96c3-cb681ce0a46a,상세보기 : 경기도_의정부시_태양광발전소전기사업허가정보,2025-09-01,generator_next\source\raw_csv\경기도_의정부시_태양광발전소전기사업허가정보_20250731.csv,2026-02-25T02:22:27,skipped:up_to_date
uid:d16f3af7-1b4c-4492-ba4b-f84741e91b5a,d16f3af7-1b4c-4492-ba4b-f84741e91b5a,상세보기 : 경기도_안성시_태양광발전소전기사업허가정보,2025-12-02,generator_next\source\raw_csv\경기도_안성시_태양광발전소전기사업허가정보_20251125.csv,2026-02-25T02:22:02,ok
uid:d4d1b657-ff73-460b-9dad-fe56dc64e41b,d4d1b657-ff73-460b-9dad-fe56dc64e41b,상세보기 : 경상북도_성주군_태양광발전소전기사업허가정보,2024-09-24,generator_next\source\raw_csv\경상북도_성주군_태양광발전소전기사업허가정보_20240807.csv,2026-02-25T02:23:02,ok
uid:d6849514-1510-47a9-b0ba-9460f8120745,d6849514-1510-47a9-b0ba-9460f8120745,상세보기 : 경기도_하남시_태양광발전소전기사업허가정보,2026-01-12,generator_next\source\raw_csv\경기도_하남시_태양광발전소전기사업허가정보_20251203.csv,2026-02-25T02:21:51,ok
uid:d786c865-f1ce-4c5d-a2f5-e4b56fa63a50,d786c865-f1ce-4c5d-a2f5-e4b56fa63a50,상세보기 : 전라남도_함평군_태양광발전소전기사업허가정보,2025-12-04,generator_next\source\raw_csv\전라남도_함평군_태양광발전소전기사업허가정보_20251114.csv,2026-02-25T02:21:59,ok
uid:d79676d6-2109-4a86-a296-c6717bc5a56d,d79676d6-2109-4a86-a296-c6717bc5a56d,상세보기 : 충청북도_옥천군_태양광발전소전기사업허가정보,2025-09-25,generator_next\source\raw_csv\충청북도_옥천군_태양광발전소전기사업허가정보_20250924.csv,2026-02-25T02:22:16,skipped:up_to_date
uid:d93baa4d-7ebf-4a19-bb24-ea0379352315,d93baa4d-7ebf-4a19-bb24-ea0379352315,상세보기 : 경상북도_청송군_태양광발전소전기사업허가정보,2026-01-22,generator_next\source\raw_csv\경상북도_청송군_태양광발전소전기사업허가정보_20260101.csv,2026-02-25T02:21:48,skipped:up_to_date
uid:db0b9cfa-3847-47b4-bb1c-b4d264a4a227,db0b9cfa-3847-47b4-bb1c-b4d264a4a227,상세보기 : 전라남도_목포시_태양광발전소전기사업허가정보,2025-05-12,generator_next\source\raw_csv\전라남도_목포시_태양광발전소전기사업허가정보_20250508.csv,2026-02-25T02:22:38,skipped:up_to_date
uid:db0e4599-8172-41f1-a0a8-c7389126bcdf,db0e4599-8172-41f1-a0a8-c7389126bcdf,상세보기 : 경기도_태양광발전소전기사업허가정보,2025-11-20,generator_next\source\raw_csv\경기도_태양광발전소전기사업허가정보_20251118.csv,2026-02-25T02:22:06,skipped:up_to_date
uid:dc9b9851-a0ff-40bd-914c-b13268764d74,dc9b9851-a0ff-40bd-914c-b13268764d74,상세보기 : 강원특별자치도_양양군_태양광발전소전기사업허가정보,2024-12-12,generator_next\source\raw_csv\강원특별자치도_양양군_태양광발전소전기사업허가정보_20241126.csv,2026-02-25T02:22:47,ok
uid:dd1d75ef-19ce-4326-bff8-a2f5d48a6233,dd1d75ef-19ce-4326-bff8-a2f5d48a6233,상세보기 : 충청남도_홍성군_태양광발전소전기사업허가정보,2025-03-20,generator_next\source\raw_csv\충청남도_홍성군_태양광발전소전기사업허가정보_20250207.csv,2026-02-25T02:22:41,ok
uid:ddede997-351d-480b-9cb9-843d278b5de1,ddede997-351d-480b-9cb9-843d278b5de1,상세보기 : 경기도_과천시_태양광발전소전기사업허가정보,2025-09-25,generator_next\source\raw_csv\경기도_과천시_태양광발전소전기사업허가정보_20250924.csv,2026-02-25T02:22:18,skipped:up_to_date
uid:de437bc0-89f1-406e-a261-9dc9ac92f4b3,de437bc0-89f1-406e-a261-9dc9ac92f4b3,상세보기 : 충청북도_충주시_태양광발전소전기사업허가정보,2025-11-10,generator_next\source\raw_csv\충청북도_충주시_태양광발전소전기사업허가정보_20251031.csv,2026-02-25T02:22:13,skipped:up_to_date
uid:dee4530e-f7e3-43d8-9b52-af00a4abe39a,dee4530e-f7e3-43d8-9b52-af00a4abe39a,상세보기 : 경상남도_창원시_태양광발전소전기사업허가정보,2024-10-10,generator_next\source\raw_csv\경상남도_창원시_태양광발전소전기사업허가정보_20240927.csv,2026-02-25T02:22:51,skipped:up_to_date
uid:e038cd7f-3369-47ea-bde5-ba158d9868d5,e038cd7f-3369-47ea-bde5-ba158d9868d5,상세보기 : 충청북도_보은군_태양광발전소전기사업허가정보,2022-11-30,generator_next\source\raw_csv\충청북도_보은군_태양광발전소전기사업허가정보_20221130.csv,2026-02-25T02:23:08,ok
