sido_code,sido_name,gugun_code,gugun_name,station_count,capacity_mw,generation_mwh,station_count_ratio_pct,capacity_ratio_pct,generation_ratio_pct,collected_at
47,경상북도,47130,경주시,"1,952",293,"181,404",6.2,6.8,4.8,2026-02-14T23:08:21.279293
47,경상북도,47150,김천시,"2,286",323,"287,538",7.2,7.6,7.6,2026-02-14T23:08:21.279293
47,경상북도,47170,안동시,"2,652",348,"276,110",8.4,8.1,7.3,2026-02-14T23:08:21.279293
47,경상북도,47190,구미시,"2,208",272,"261,409",7,6.4,6.9,2026-02-14T23:08:21.279293
47,경상북도,47210,영주시,"1,769",220,"218,070",5.6,5.2,5.7,2026-02-14T23:08:21.279293
47,경상북도,47230,영천시,"2,294",287,"213,664",7.3,6.7,5.6,2026-02-14T23:08:21.279293
47,경상북도,47250,상주시,"3,188",477,"527,294",10.1,11.2,13.9,2026-02-14T23:08:21.279293
47,경상북도,47280,문경시,"1,140",150,"147,369",3.6,3.5,3.9,2026-02-14T23:08:21.279293
47,경상북도,47290,경산시,"1,894",238,"155,006",6,5.6,4.1,2026-02-14T23:08:21.279293
47,경상북도,47730,의성군,"1,844",318,"356,027",5.8,7.4,9.4,2026-02-14T23:08:21.279293
47,경상북도,47750,청송군,452,36,"42,249",1.4,0.8,1.1,2026-02-14T23:08:21.279293
47,경상북도,47760,영양군,902,140,"155,260",2.9,3.3,4.1,2026-02-14T23:08:21.279293
47,경상북도,47770,영덕군,968,170,"167,701",3.1,4,4.4,2026-02-14T23:08:21.279293
47,경상북도,47820,청도군,671,58,"38,614",2.1,1.4,1,2026-02-14T23:08:21.279293
47,경상북도,47830,고령군,755,75,"48,234",2.4,1.7,1.3,2026-02-14T23:08:21.279293
47,경상북도,47840,성주군,"1,080",121,"100,481",3.4,2.8,2.6,2026-02-14T23:08:21.279293
47,경상북도,47850,칠곡군,"1,622",189,"134,115",5.1,4.4,3.5,2026-02-14T23:08:21.279293
47,경상북도,47900,예천군,"1,982",254,"214,358",6.3,5.9,5.6,2026-02-14T23:08:21.279293
47,경상북도,47920,봉화군,951,145,"152,272",3,3.4,4,2026-02-14T23:08:21.279293
47,경상북도,47930,울진군,120,17,"18,455",0.4,0.4,0.5,2026-02-14T23:08:21.279293
48,경상남도,48120,창원시,955,205,"141,410",5.9,9,7.3,2026-02-14T23:08:21.279293
